bits,p,a,b,px,py,qx,qy,expected,provided,success,elapsed_seconds,one_cycle_iteration_count
14,8861,7116,455,319,5491,7305,6636,3643,3643,True,0.000733,188
14,11273,3248,9924,6056,840,7249,4840,1705,1705,True,0.001829,212
14,10709,2851,671,6306,2388,9149,8483,17,17,True,0.001353,206
14,12343,5719,6963,1570,9501,12027,7887,11653,11653,True,0.000601,222
14,15683,11873,1366,2449,582,13507,12166,13871,13871,True,0.001057,250
15,18427,2037,4513,13221,13246,4769,5981,12891,12891,True,0.001327,270
15,32717,19206,24689,16886,2166,9266,13750,3184,3184,True,0.011096,360
15,17047,2532,7898,10192,11255,7448,9501,2548,2548,True,0.001141,260
15,26119,16256,15679,18277,11668,22809,1137,14378,14378,True,0.013958,322
15,23719,22600,15423,12540,11310,18590,10968,13137,13137,True,0.002147,308
15,17231,10103,8122,10216,9668,14006,2483,8126,8126,True,0.001470,262
15,21377,17237,11189,20075,4453,9868,319,13595,13595,True,0.000980,292
15,17681,3774,5809,16451,7774,6548,17409,3203,3203,True,0.003017,264
15,22741,6429,8708,11438,19112,8399,13897,10006,10006,True,0.005921,300
15,20101,15088,17051,10047,19922,4444,18312,125,125,True,0.000485,282
16,35533,18554,35515,27170,13511,11537,24428,4029,4029,True,0.003197,376
16,52267,34316,11741,12198,44368,36349,46448,3407,3407,True,0.002802,456
16,48197,14671,46512,2607,15194,10377,42637,22611,22611,True,0.005363,438
16,49333,32384,11851,18311,36543,40975,10689,32417,32417,True,0.006466,444
16,65173,57393,44069,10014,46935,39755,14229,52171,52171,True,0.005171,510
16,39133,31685,25912,39017,30227,17039,35741,59,59,True,0.004497,394
16,55117,46154,32324,25330,47189,47014,20755,2909,2909,True,0.004008,468
16,44171,34274,33560,10741,21415,890,32794,1052,1052,True,0.009362,420
16,34759,5295,26580,25639,10161,10403,27966,1456,1456,True,0.005304,372
16,64627,5394,26939,22414,53116,42735,7366,1473,1473,True,0.002311,508
17,78919,12611,66071,33046,45163,32889,69751,12460,12460,True,0.014750,560
17,80317,19583,25724,65964,48978,34732,7375,39197,39197,True,0.002562,566
17,76099,64831,6712,72719,71294,29664,69773,30059,30059,True,0.001058,550
17,117833,47461,45800,63935,91324,101622,93128,21554,21554,True,0.005296,686
17,67447,39385,16907,51037,66270,64158,4787,443,443,True,0.001039,518
17,85363,63820,48884,25716,68036,26543,8088,8387,8387,True,0.002013,584
17,81611,158,76524,75166,71453,71021,74038,48462,48462,True,0.002815,570
17,84991,57808,13132,70355,4867,36138,26546,35149,35149,True,0.001233,582
17,102043,20020,39740,74745,27485,21405,83617,30577,30577,True,0.013296,638
17,125711,99818,91507,105851,48884,34782,67653,25,25,True,0.002963,708
18,225671,97835,68757,44093,183229,222451,190536,13900,13900,True,0.001757,950
18,134093,24636,68933,87436,568,112133,4058,21009,21009,True,0.006090,732
18,207769,138102,14828,175225,27905,166678,149191,40151,40151,True,0.014378,910
18,248203,88853,38088,168796,244197,179207,218283,64676,64676,True,0.003520,996
18,141833,80332,93914,23722,124500,103592,134146,70823,70823,True,0.007356,752
18,174467,4489,111058,32690,73389,105441,169404,55476,55476,True,0.003560,834
18,238093,1998,45333,166664,8654,136458,68901,84477,84477,True,0.004798,974
18,158621,17444,48546,52582,145609,77083,83362,73963,73963,True,0.005985,796
18,188933,93721,61848,81182,69928,135902,15655,2389,2389,True,0.006279,868
18,136531,117168,7046,129122,134094,88028,129574,15537,15537,True,0.007781,738
19,443243,59389,101668,145265,341423,358172,170311,6425,6425,True,0.002018,1330
19,335107,199061,35954,331509,111739,165705,205093,29482,29482,True,0.002151,1156
19,442243,240546,224331,306655,100460,180765,235904,421601,421601,True,0.005977,1330
19,467587,307100,18917,439262,305876,263432,359284,12867,12867,True,0.002556,1366
19,517747,471436,320539,33922,504901,471282,288586,484534,484534,True,0.011261,1438
19,437083,105728,406556,276313,342322,384688,31271,159809,159809,True,0.005571,1322
19,502841,500717,184666,446484,110111,358035,228749,492142,492142,True,0.005964,1418
19,308507,192106,124928,189242,41867,238381,286211,52764,52764,True,0.005358,1110
19,495211,278150,211693,307608,484347,295157,270422,85747,85747,True,0.004601,1406
19,321847,114669,68581,256554,245070,61022,289265,5771,5771,True,0.002532,1134
20,1038797,745955,309312,150847,389444,617125,776593,258168,258168,True,0.008457,2038
20,878077,864478,203889,831691,279411,3990,219411,149674,149674,True,0.017165,1874
20,779983,262213,618033,641995,631177,29430,375473,162088,162088,True,0.056462,1766
20,997807,655661,246467,551866,110531,662234,581237,572940,572940,True,0.006768,1996
20,983861,885963,32958,840208,144288,962320,479209,75747,75747,True,0.048030,1982
20,1021289,60144,910082,292613,1015850,427524,975675,308082,308082,True,0.003480,2020
20,581597,218724,250587,175556,539302,254371,228232,10800,10800,True,0.004616,1524
20,989341,325123,825872,728432,49715,147177,561351,181895,181895,True,0.008071,1988
20,694457,314093,207362,603764,127953,239543,397073,49293,49293,True,0.003319,1666
20,835427,213527,798289,133237,788183,253959,454693,359877,359877,True,0.019606,1828
21,1571611,1510799,73631,856619,894787,986172,864138,426207,426207,True,0.012351,2506
21,1091221,957060,1034751,785949,199687,392917,180595,310,310,True,0.013302,2088
21,1992623,511486,1318601,734209,973840,760329,1277111,1510155,1510155,True,0.025781,2822
21,1822981,1365358,1394826,1658867,234496,52625,1458613,881632,881632,True,0.054806,2700
21,1419403,609613,1321624,139081,918324,1365173,250676,470306,470306,True,0.024192,2382
21,1407389,648815,17884,935446,1219636,1234980,452118,4167,4167,True,0.013490,2372
21,1984117,1589225,432486,1023693,1638970,510632,143622,175817,175817,True,0.006168,2816
